teatro,titulos_unicos,producciones_registros,anios_en_cartel_total,anios_en_cartel_media,anios_en_cartel_max,anio_inicio_min,anio_fin_max
Teatro EDP Gran Vía,7,7,28,4.0,12,2011,2025
Teatro Calderón,6,6,24,4.0,13,2011,2025
Teatro Nuevo Alcalá,7,7,21,3.0,6,2010,2024
Teatro Coliseum,7,7,17,2.43,3,2011,2025
Teatro Lope de Vega,1,1,15,15.0,15,2011,2025
Teatro Tívoli,5,5,13,2.6,3,2014,2024
Teatro Lara,1,1,13,13.0,13,2013,2025
Teatro Nuevo Apolo,4,4,12,3.0,6,2010,2025
Teatro Rialto,4,4,12,3.0,4,2011,2025
Gran Teatro CaixaBank Príncipe Pío,3,3,8,2.67,3,2023,2025
Teatro La Latina,3,3,8,2.67,4,2021,2024
Teatro Del Soho,3,3,6,2.0,3,2021,2025
Teatro Español,2,2,5,2.5,3,2012,2023
Almería Teatre,1,1,4,4.0,4,2010,2013
Las Arenas,1,1,4,4.0,4,2011,2014
Teatro Principal de Zaragoza,1,1,4,4.0,4,2021,2024
Teatro Albéniz,2,2,4,2.0,3,2023,2025
Ifema Madrid Live,1,1,4,4.0,4,2022,2025
Teatre Apolo,2,2,4,2.0,2,2010,2025
Espacio Delicias,2,2,3,1.5,2,2021,2024
Teatro Marquina,1,1,2,2.0,2,2024,2025
Teatre Poliorama,1,1,2,2.0,2,2022,2023
Espacio Ibercaja Delicias,1,1,2,2.0,2,2021,2022
Teatre Victòria,1,1,2,2.0,2,2024,2025
Teatros del Canal,1,1,2,2.0,2,2012,2013
Teatro Pavón,1,1,2,2.0,2,2017,2018
Auditorio de Tenerife,1,1,1,1.0,1,2012,2012
Veranos de la Villa,1,1,1,1.0,1,2015,2015
